dt,symbol,close,volume,ret1,adv_20_median,vol_90,trend_200,sma200_slope_pos,trend_quality,mom_6,mom_12_1,score,rank
2026-01-09,EVN.AU,12.82,4312542.0,0.006279434850863463,69295464.29,0.02762342131134339,True,True,True,0.6912928759894459,1.2683397683397684,1.8632828004370416,1
2026-01-09,NEM.AU,157.4,345498.0,-0.0001905608842025508,47425596.019999996,0.025808323560267746,True,True,True,0.7106836213455059,1.1175455116133084,1.5893151415293918,2
2026-01-09,LYC.AU,14.1,7232482.0,-0.0098314606741573,80678865.92000002,0.038989743112114936,True,True,True,0.4099999999999999,0.9470672389127324,0.9980574413234544,3
2026-01-09,SFR.AU,18.65,1185588.0,-0.008506113769271684,30013752.28,0.02075060988538478,True,True,True,0.687782805429864,0.7217125382262997,0.805749578363165,4
2026-01-09,MIN.AU,57.09,1041978.0,0.010621348911311834,62540271.945,0.031101692662426638,True,True,True,1.046236559139785,0.4962209302325582,0.6835765633678117,5
2026-01-09,NST.AU,24.72,6497294.0,0.004878048780487809,152633148.19,0.026539885214919748,True,True,True,0.4954627949183301,0.5672902836451417,0.34003015274565185,6
2026-01-09,ORI.AU,26.03,1254755.0,0.0023103581055063938,36841381.504999995,0.010452671356675675,True,True,True,0.2716170004885199,0.409225310467179,-0.16022779174410234,7
2026-01-09,FMG.AU,22.71,7050869.0,-0.0017582417582416854,139847703.975,0.015618555915339765,True,True,True,0.3437869822485209,0.23145566090351366,-0.44017352835255225,8
2026-01-09,BSL.AU,30.0,2159847.0,0.020408163265306145,31377621.62,0.026301044099020024,True,True,True,0.21802679658952506,0.2235415591120289,-0.5651870893425179,9
2026-01-09,RIO.AU,143.06,3695823.0,-0.06270064862739955,142088658.18,0.015439494817718289,True,True,True,0.28029353857168426,0.152385752688172,-0.6481118581753453,10
2026-01-09,ANZ.AU,35.45,3607652.0,-0.006446188340807124,130644157.71000001,0.011794252889901888,True,True,True,0.1785239361702129,0.19733697507681813,-0.6502098655364368,11
2026-01-09,WBC.AU,37.9,2525308.0,-0.0028939752696658383,134510769.27499998,0.0123566200110783,True,True,True,0.12932061978545883,0.17300613496932526,-0.7400833767296929,12
2026-01-09,BHP.AU,47.72,10410820.0,0.008027038445289403,322571685.6,0.013325538555731545,True,True,True,0.2011074754593507,0.12071572580645151,-0.7783079932625195,13
2026-01-09,NAB.AU,41.02,2304779.0,-0.001946472019464629,126704439.185,0.011056321194723509,True,True,True,0.03429147755925377,0.06982872200263501,-1.0220464298275969,14
2026-01-09,WOW.AU,30.08,3015048.0,0.017935702199661563,56889153.075,0.009141434769943882,True,True,True,-0.029677419354838808,-0.03270564915758167,-1.2756637447957542,15
